M20, Gini
-2.4091715797291653, 0.7426423396726001
-2.418802741291743, 0.7440676350344104
-2.4342368806626435, 0.7446421708536253
-2.7028608986805547, 0.7475221529807239
-2.702859130051595, 0.7465279273566638
-2.7259254312831445, 0.7472697714252584
-2.7311803707247164, 0.747520675991152
-2.7101236934158264, 0.7492108640598997
-2.712886483615326, 0.747635904348507
-2.7090897536770813, 0.744622388713839
-2.693098104318963, 0.7477621124460546
-2.6456730434610596, 0.7447725058353559
-2.352314179716082, 0.7409218267883988
-2.2984230035040354, 0.7391019221127274
-2.2931542614849967, 0.7393849928658948
-2.29198532396206, 0.7395497199834091
-2.3135060719038485, 0.7379977617348888
-2.318005924966008, 0.7409564618799643
-2.3173677368817467, 0.745075248421908
-2.294682695438626, 0.747347701527137
-2.288977775572654, 0.7496901539957768
-2.2813253960195077, 0.7472592620459821
-2.2826602898725517, 0.7444714487134841
-2.2453794117917942, 0.7441780988021593
-2.252985352022878, 0.7453968735086474
-2.5855193241078296, 0.7472190152012674
-2.3019105521527807, 0.742186287377684
-2.038230411044837, 0.7445610683835864
-2.015549384105974, 0.7441667260951942
-1.9939567206603115, 0.7469175414111578
-2.038819187846512, 0.739331277199293
-1.7879652153153407, 0.7344957045914617
-1.681769734896656, 0.7270582832874901
-1.664246750576627, 0.7158165895121588
-1.564684962076034, 0.6972516978980173
-1.5667588350302912, 0.6788555083419869
-1.4803270396870567, 0.6613436244899688
-1.393690816576417, 0.6396984408424454
-1.4580681242092939, 0.612710777989273
-1.3467115882655576, 0.5881203792079039
-1.311228577363317, 0.5840461370688905
-1.4421827306804185, 0.5882294733306772
-1.725949805632753, 0.6183878023662858
-2.2024397615455595, 0.6635651023111827
-2.263413494303567, 0.6952617900003862
-2.1880485231753584, 0.7144152580017027
-2.10706370774029, 0.7246904252713517
-2.2399271939047884, 0.7242730071013019
-2.22547800809028, 0.7276159987723466
-2.141596964506138, 0.7272567374253088
-2.12981931419401, 0.7307441099867443
-2.001426909275633, 0.731378401698114
-1.9675269929740864, 0.7341150051223229
-1.9910228696875112, 0.7354432790379314
-1.9959703769445698, 0.7351253559049857
-2.0054649412430843, 0.7336585092257769
-1.9991117312371047, 0.7407629058991236
-2.128367428006129, 0.740220194941141
-2.1873882893735868, 0.7449648715267209
-2.2006281259969533, 0.7458475407725478
-2.2467106259132184, 0.7486096310214012
-2.140179135317785, 0.749291596470721
-2.4094863368260193, 0.7548444678795367
-2.386653205331112, 0.7555902650205711
-2.7710420984131305, 0.7572491926009357
-2.8470784308775006, 0.7588798240359823
-2.6440163706594078, 0.7624213703117643
-2.630961242115605, 0.7633792638945535
-2.4524750801453394, 0.7625265246466507
-2.4503317826468787, 0.7686023845575718
-2.479148634192219, 0.7750341652297756
-2.2429346396539596, 0.7823500426469836
-2.2100445352786493, 0.7896427373344826
-2.2158503610276474, 0.7938886996422135
-2.238065407073089, 0.7968510848877001
-2.5947414188508957, 0.7971896662005783
-2.6076547714505804, 0.7966486772111687
-2.6127734135334393, 0.7915496827347832
-2.577641285911319, 0.7883570820921434
-2.5657684076038376, 0.7835651390852173
-2.660795042586703, 0.7818423297746766
-2.4751791176388296, 0.7802275156193051
-2.396545607274012, 0.7784519523374492
-2.445436954530946, 0.7746487405559019
-2.4754920170011627, 0.7747057595304027
-2.4709717486452947, 0.7713961708434295
-2.225434350628827, 0.7694102313469786
-2.259103513413812, 0.7667021143361532
-2.2304959214550273, 0.7696835906393351
-2.2900440319244293, 0.7645339840775264
-2.2789394519938706, 0.7609769620858352
-2.2815768899965967, 0.7596725252466221
-2.100736095054497, 0.7641424003385958
